@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
233,'2018/02/28 01:19:57:567',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
234,'2018/02/28 01:19:57:579',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
235,'2018/02/28 01:19:57:610',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
236,'2018/02/28 01:19:57:630',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
237,'2018/02/28 01:19:57:649',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
238,'2018/02/28 01:19:57:677',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
239,'2018/02/28 01:19:57:709',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
240,'2018/02/28 01:19:57:716',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
241,'2018/02/28 01:19:57:730',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
242,'2018/02/28 01:19:57:756',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
243,'2018/02/28 01:19:57:765',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
244,'2018/02/28 01:19:57:780',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
245,'2018/02/28 01:19:57:797',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
246,'2018/02/28 01:19:57:814',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
247,'2018/02/28 01:19:57:830',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
248,'2018/02/28 01:19:57:860',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
249,'2018/02/28 01:19:57:892',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
250,'2018/02/28 01:19:57:899',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
251,'2018/02/28 01:19:57:913',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
252,'2018/02/28 01:19:57:930',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
253,'2018/02/28 01:19:57:959',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
254,'2018/02/28 01:19:57:979',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
255,'2018/02/28 01:19:57:996',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
256,'2018/02/28 01:19:58:016',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
257,'2018/02/28 01:19:58:045',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
258,'2018/02/28 01:19:58:063',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
